n    tn     tn+1   Sƒn                                Sƒn+1                              1 - Sƒn                            Sƒn - Sƒn+1                       
276  03.45  03.16  0.6768487283155186773342393280500  0.6311837713388521731161517891400  0.3231512716844813226657606719500  0.0456649569766665042180875389020  
278  03.48  03.06  0.6768472777765269787764168540900  0.6311850950312339891823398829700  0.3231527222234730212235831459100  0.0456621827452929895940769711160  
280  03.53  03.10  0.6768458530941395823177231250100  0.6311863955665577563536317029500  0.3231541469058604176822768749800  0.0456594575275818259640914220650  
282  03.56  03.07  0.6768444536281501555663453473200  0.6311876735090704571007336198800  0.3231555463718498444336546526800  0.0456567801190796984656117274420  
284  03.56  03.12  0.6768430787585810737283509297400  0.6311889294054416899015791386800  0.3231569212414189262716490702600  0.0456541493531393838267717910640  
286  03.60  03.11  0.6768417278849067075796597237000  0.6311901637854299140784064547900  0.3231582721150932924203402762900  0.0456515640994767935012532689140  
288  03.64  03.12  0.6768404004253127936863165814400  0.6311913771625173863455415812500  0.3231595995746872063136834185600  0.0456490232627954073407750001930  
290  03.65  03.19  0.6768390958159894443824100562800  0.6311925700345184520045904719100  0.3231609041840105556175899437200  0.0456465257814709923778195843620  
292  03.65  03.19  0.6768378135104542447919584446900  0.6311937428841596364748056657800  0.3231621864895457552080415553100  0.0456440706262946083171527789090  
294  03.74  03.33  0.6768365529789075463185099579300  0.6311948961796360890730284154400  0.3231634470210924536814900420700  0.0456416567992714572454815424860  
296  03.71  03.28  0.6768353137076121850412846470100  0.6311960303751427137086693619500  0.3231646862923878149587153529900  0.0456392833324694713326152850640  
298  03.73  03.23  0.6768340951983048414675181447800  0.6311971459113832061404991691200  0.3231659048016951585324818552200  0.0456369492869216353270189756580  
300  03.77  03.27  0.6768328969676288275891806733800  0.6311982432160569977952491171900  0.3231671030323711724108193266100  0.0456346537515718297939315561960  
302  03.82  03.28  0.6768317185465925200915648929400  0.6311993227043256604602561310400  0.3231682814534074799084351070600  0.0456323958422668596313087618910  
304  03.82  03.36  0.6768305594800528846022302786900  0.6312003847792593269616645557100  0.3231694405199471153977697213100  0.0456301747007935576405657229770  
306  03.82  03.36  0.6768294193262174296421562758000  0.6312014298322654592965363917700  0.3231705806737825703578437242000  0.0456279894939519703456198840280  
308  03.86  03.40  0.6768282976561694752604125824300  0.6312024582434981878620305906200  0.3231717023438305247395874175700  0.0456258394126712873983819918060  
310  03.90  03.37  0.6768271940534128505717603729800  0.6312034703822521075622375974500  0.3231728059465871494282396270100  0.0456237236711607430095227755370  
312  04.09  03.43  0.6768261081134341328180425989500  0.6312044666073395315919469794600  0.3231738918865658671819574010400  0.0456216415060946012260956194950  
314  03.94  03.44  0.6768250394432859806670421676200  0.6312054472674515359642555267800  0.3231749605567140193329578323800  0.0456195921758344447027866408460  
316  03.99  03.44  0.6768239876611837901876356227100  0.6312064127015057923841823139800  0.3231760123388162098123643772800  0.0456175749596779978034533087340  
318  04.02  03.49  0.6768229523961220017724826902800  0.6312073632389789690222414719700  0.3231770476038779982275173097100  0.0456155891571430327502412183090  
320  04.02  03.49  0.6768219332875033966701039389600  0.6312082992002270298570465456600  0.3231780667124966033298960610400  0.0456136340872763668130573933010  
322  04.02  03.54  0.6768209299847854909515376675700  0.6312092208967916562301070371200  0.3231790700152145090484623324300  0.0456117090879938347214306304520  
324  04.24  03.53  0.6768199421471398080640824446100  0.6312101286316955661703786972800  0.3231800578528601919359175553800  0.0456098135154442418937037473370  
326  04.11  03.58  0.6768189694431244740613351496000  0.6312110226997257322878454033300  0.3231810305568755259386648504000  0.0456079467433987417734897462650  
328  04.12  03.61  0.6768180115503712457325491413900  0.6312119033877051643699473970600  0.3231819884496287542674508586100  0.0456061081626660813626017443310  
330  04.14  03.61  0.6768170681552829748284239030900  0.6312127709747549220153928217800  0.3231829318447170251715760969100  0.0456042971805280528130310813140  
332  04.16  03.65  0.6768161389527443949631901887200  0.6312136257325454691269328577600  0.3231838610472556050368098112800  0.0456025132201989258362573309570  
334  04.20  03.66  0.6768152236458433446131266464300  0.6312144679255384804861250813700  0.3231847763541566553868733535600  0.0456007557203048641270015650660  
336  04.48  03.84  0.6768143219456023151892054556800  0.6312152978112195444992948978300  0.3231856780543976848107945443200  0.0455990241343827706899105578480  
338  04.52  03.72  0.6768134335707213233845891409100  0.6312161156403220951816024353300  0.3231865664292786766154108590800  0.0455973179303992282029867055820  
340  04.52  03.73  0.6768125582473301093955342366800  0.6312169216570422403123075127900  0.3231874417526698906044657633200  0.0455956365902878690832267238870  
342  04.57  03.74  0.6768116957087507712387264291400  0.6312177160992469282518868567400  0.3231883042912492287612735708500  0.0455939796095038429868395724040  
344  04.59  03.77  0.6768108456952662832506462109400  0.6312184991986723447965346167600  0.3231891543047337167493537890500  0.0455923464965939384541115941830  
346  04.62  03.78  0.6768100079539013380625078752900  0.6312192711811173140290520677800  0.3231899920460986619374921247100  0.0455907367727840240334558075120  
348  04.64  03.83  0.6768091822382092948018339484400  0.6312200322666273732963304610200  0.3231908177617907051981660515600  0.0455891499715819215055034874240  
