   k     k*nj*ni   tji        t total   fn

2015-11-01 17:24:21-01:00
0040   020000000   621   0 07:22:57.0   0.36808096457178688728812981198522745561863436080878318161175309607117429120180777670505012977235834088072588787193784296069733063340025532751374532223012681217064078774022013971407489551561965402111213987667989905044894450092170259330615244735635386064472005588856630674865456431647831792679121000815544028131633317847370346842128131037131385795792483249585086092017641635346388670222936388271293752736365870673747438845972241273501043939209062574060445883199968998928755045448945490564551962550998802
0041   020500000   696   0 07:34:33.0   0.36807849146534036562383286139372612258572579986480151285495568229113057728887817837050405750863095729824100461639107931233008786482171867893543841300751199849166400442557885180696347616405995238874395762771357406603900413294809264602268341786997247957372381768471934279908892978992089165429971160945389174673085927792111233106152086668674115118894784920817479029176803310578620325428251466221954297938962614919898589550834100542818146971392926593124054807823800238080945152836443308046456154018793899
0042   021000000   682   0 07:45:56.0   0.36807610722624589770071651744572280613235069017498826118094716451763523145628912912089377999225307432764910085675577275407814609138512139066589749598942747129885961670911721604722350935449128907084259061080163011922513837302582028431769453777220286453674476268900277569200183705513033086517805652859538130943339587911399757460246984730092325821857962677082480468895584990330933701713809706452076840794963825652672056524944071231720690348569616935297265831519027193175481609979192224507313214045588037
0043   021500000   662   0 07:57:00.0   0.36807380665679592978981539635311018158871944912176188564562068374278627420632543657575787303867471621121566143611485510350726178048146122654473709611826982328084451880083875673562617548781423488557180041227588038139075982540542003191943702953099026243379176139236678474506524423467491937618497007120265645960382516078055217877862197554951301015379896040742516676419199247415133530465478972585774385144155229560187705733337542279503069389621082981224200963366718342990657914021938770034185326955015068
0044   022000000   793   0 08:10:13.0   0.36807158497516614856792093663025417170413962953819640650484886700520478452461588282613838722715550766715625326745851037710143086009336052257134733843108984744105769003533139672800123711510537164669300997381906412616694257090736832729592551566779417395654216079704921140900924214578584914990764979314312114128439859128187163647369056807375843593969243304280077848247414777915110681837664816059691921173057399923894805804603815635802720769921850678721975908592236977420061343676396898368475284313437891
0045   022500000   659   0 08:21:13.0   0.36806943777358765211627342966364629374479358833583487103945004686550647285221922988962915579852568306112558528296055223455184827080404805712695727412388219718944643489646051653848268677856178795001903344120009165493936762963865605930595994845705753707603856296434974370380140741442978607265646903655200232085850971424587795227229961807545376600134114953022248139371119744452948669241870326318689934165688784337816541411740380723256269196138031941829117237211277417210589288337730151053867596666693539
0046   023000000   682   0 08:32:36.0   0.3680673609815485245480353206052903551600474086393922122674112751791042632567023789579649723393472621154140463758905613204724497034686281733871661135015837987236374940363286664472166931804651882712815747643135497278522995322366727695717318591482561008159940945792080082612268446262254436197947189346094286833745787165447971421387619876193792414922908571355297767249205068580706997351154294344214363623945747434267084822498679374364330006215364121175430858061290382690446127208236378127874932633776298
0047   023500000   778   0 08:45:35.0   0.36806535083332540242735073092380041441699982384450216610597686452627736422490887407344553726185261977547140761018773348878989638570088116442628926039984742078121326012301018581109286989983271399871654583793308452987245186331848852440445508619172667658197389125518938790528633659786156510167802950480949499979743471113014452785522094820026813023927007017075077641135065103464453705332329135263000185527913702475413445285924047137031343427297478128419109790209793448169778297235238611093681032434903317
0048   024000000   662   0 08:56:37.0   0.36806340383925549912412142844934171556278148249574815615877021158980209271649785651661434486283058285966484688075069180023982305606797233189695289950508600336212238697041374446286306895108366323394580712906434560178154894484766591514259980100215538996872582082330104686946730319665932007883705734064103883488365641406976453911613941112497100551667549922519055992861774452638600307283547991008460896726501266708164215609884029611650262760077849164376978142254287433510013048141236246982497675678960852
0049   024500000   645   0 09:07:23.0   0.36806151676025026884031117340327729360604826376640430787936906813596976420709097652064434314817271479233441172057017370520098227048807942617938535441391644229016564861160533273369492907732688518454510123128759778947539984447226905554282150746038659597248982885429685088201705206614436409477012459396800099378760920633670170902720326071559883444375036222912817707716252547645628842396929639273933283751378626104824674519910537736403201062063925973697061853883966407446235406485405161655360646633924409
0050   025000000   669   0 09:18:33.0   0.36805968658512710523267563426037460518842621469188399992685793812921269184045844001295260406090810463213232153847785160933879522086461563566639663151057346977360237385240995644239148132959074744870450335964823213764268197403265273060451668914932092667140701804942713307094874325624392135763865195150630156757095498343219671504967094306547178568419782658030220007790724671242406741271306969070483717274518600678764556086280317558873275079893179548120938373846439349897827283328270531002021275439789087
